,Sample_ID,Timepoint,Arms,Explant_ID/Arm level,Plate_NO,Ki67,Cas-3
7,FRB1A210047,TBL,Arm-1,MA1,P1,60,15
8,FRB1A210047,TBL,Arm-1,MA2,P1,55,25
9,FRB1A210047,TBL,Arm-1,MA3,P1,40,15
10,FRB1A210047,TBL,Arm-1,MA4,P1,10,20
11,FRB1A210047,TBL,Arm-1,MA5,P1,30,18
12,FRB1A210047,TBL,Arm-1,MA6,P1,40,12
13,FRB1A210047,TBL,Arm-1,MA7,P1,25,8
14,FRB1A210047,T72,CONTROL,MA1,P1,,
15,FRB1A210047,T72,CONTROL,MA2,P1,4,15
16,FRB1A210047,T72,CONTROL,MA3,P1,,
17,FRB1A210047,T72,CONTROL,MA4,P1,7,18
18,FRB1A210047,T72,CONTROL,MA5,P1,15,12
19,FRB1A210047,T72,CONTROL,MA6,P1, ,
20,FRB1A210047,T72,CONTROL,MA7,P1,6,25
21,FRB1A210047,T72,HYDRO,MB1,P1,15,8
22,FRB1A210047,T72,HYDRO,MB2,P1,20,20
23,FRB1A210047,T72,HYDRO,MB3,P1,8,15
24,FRB1A210047,T72,HYDRO,MB4,P1, ,
25,FRB1A210047,T72,HYDRO,MB5,P1,7,20
26,FRB1A210047,T72,HYDRO,MB6,P1, ,
27,FRB1A210047,T72,HYDRO,MB7,P1, ,
28,FRB1A210047,T72,HYDRO+EGF,MC1,P1,12,15
29,FRB1A210047,T72,HYDRO+EGF,MC2,P1, ,
30,FRB1A210047,T72,HYDRO+EGF,MC3,P1,12,25
31,FRB1A210047,T72,HYDRO+EGF,MC4,P1, ,
32,FRB1A210047,T72,HYDRO+EGF,MC5,P1,5,25
33,FRB1A210047,T72,HYDRO+EGF,MC6,P1,15,15
34,FRB1A210047,T72,HYDRO+EGF,MC7,P1,15,20
