Sample_ID,Arm_Code,Drug
FBR1Y240001,RXA,control
FBR1Y240001,RXJ,Paclitaxel + Carboplatin
FBR1Y240001,RXF,Cisplatin_Cmax
FBR1Y240001,RXL,Gemcitabine + Carboplatin
FBR1Y240002,RXA,control
FBR1Y240002,RXF,Cisplatin_Cmax
FBR1Y240002,RXG,Cisplatin_Cmax + 5FU + Docetaxel
FBR1Y240003,RXA,control
FBR1Y240003,RXJ,Paclitaxel + Carboplatin
FBR1Y240003,RXF,Cisplatin_Cmax
FBR1Y240003,RXL,Gemcitabine + Carboplatin
FBR1X240006,RXA,control
FBR1X240006,RXF,Cisplatin_Cmax
FBR1X240006,RXG,Cisplatin_Cmax + 5FU + Docetaxel
FBR1Y240008,RXA,control
FBR1Y240008,RXJ,Paclitaxel + Carboplatin
FBR1Y240008,RXF,Cisplatin_Cmax
FBR1Y240009,RXA,control
FBR1Y240009,RXF,Cisplatin_Cmax
FBR1Y240009,RXG,Cisplatin_Cmax + 5FU + Docetaxel
FBR1Y240009,RXW,Cisplatin_Cmax + Nivolumab_Low dose
FBR1Z240011,RXA,control
FBR1Z240011,RXV,Paclitaxel + Carboplatin + Nivolumab_Low dose
FBR1Z240011,RXJ,Paclitaxel + Carboplatin
FBR1Z240011,RXC,Nivolumab_Cmax
FBR1Y240013,RXA,control
FBR1Y240013,RXJ,Paclitaxel + Carboplatin
FBR1Y240013,RXF,Cisplatin_Cmax
FBR1Y240013,RXL,Gemcitabine + Carboplatin
FBR2K240015,RXA,control
FBR2K240015,RXC,Nivolumab_Cmax
FBR1Y240016,RXA,control
FBR1Y240016,RXF,Cisplatin_Cmax
FBR1Y240016,RXG,Cisplatin_Cmax + 5FU + Docetaxel
FBR1Q240022,RXA,control
FBR1Q240022,RXAI,IL2
FBR1Q240022,RXT,Anti-CD3 + IL2
FBR2K240026,RXA,control
FBR2K240026,RXC,Nivolumab_Cmax
FBR2K240027,RXAF,control
FBR2K240027,RXAG,Nivolumab_Cmax
FBR2K240027,RXA,control
FBR2K240027,RXC,Nivolumab_Cmax
FBR1X240028,RXA,control
FBR1X240028,RXF,Cisplatin_Cmax
FBR1X240028,RXG,Cisplatin_Cmax + 5FU + Docetaxel
FBR2K240029,RXAF,control
FBR2K240029,RXAG,Nivolumab_Cmax
FBR2K240029,RXA,control
FBR2K240029,RXC,Nivolumab_Cmax
FBR2K240030,RXAF,control
FBR2K240030,RXAG,Nivolumab_Cmax
FBR2K240030,RXA,control
FBR2K240030,RXC,Nivolumab_Cmax
FBR2F240030,RXZ,control
FBR2F240030,RXAA,control
FBR1Y240031,RXA,control
FBR1Y240031,RXF,Cisplatin_Cmax
FBR1Z240032,RXA,control
FBR1Z240032,RXV,Paclitaxel + Carboplatin + Nivolumab_Low dose
FBR1Z240032,RXAH,Methotrexate + Nivolumab_Low dose
FBR1Z240032,RXJ,Paclitaxel + Carboplatin
FBR1Z240032,RXN,Methotrexate
FBR1Z240032,RXC,Nivolumab_Cmax
FBR2F240032,RXZ,control
FBR2F240032,RXAA,control
FBR1Y240034,RXA,control
FBR1Y240034,RXF,Cisplatin_Cmax
FBR1Y240034,RXG,Cisplatin_Cmax + 5FU + Docetaxel
FBR2K240035,RXA,control
FBR2K240035,RXC,Nivolumab_Cmax
FBR1Y240041,RXA,control
FBR2F240041,RXZ,control
FBR2F240041,RXAA,control
FBR1Q240042,RXA,control
FBR1Q240042,RXAS,control
FBR1Q240042,RXT,Anti-CD3 + IL2
FBR1Y240043,RXA,control
FBR1Y240043,RXF,Cisplatin_Cmax
FBR1Y240045,RXA,control
FBR1Y240045,RXAI,control
FBR1Y240049,RXA,control
FBR2J240051,RXA,control
FBR2J240051,RXB,control
FBR1Y240052,RXA,control
FBR1Y240052,RXF,Cisplatin_Cmax
FBR1Y240052,RXG,Cisplatin_Cmax + 5FU + Docetaxel
FBR1W240055,RXA,control
FBR1W240055,RXC,Paclitaxel + Carboplatin
FBR1W240059,RXA,control
FBR1W240059,RXC,Paclitaxel + Carboplatin
FBR2A240061,RXA,control
FBR2A240061,RXC,Paclitaxel + Carboplatin
FBR2A240061,RXK,Lipodox
FBR1Y240062,RXA,control
FBR2F240062,RXZ,control
FBR2F240062,RXAA,control
FBR1Y240063,RXA,control
FBR1Y240064,RXA,control
FBR1Y240064,RXF,Cisplatin_Cmax
FBR1Y240064,RXG,Cisplatin_Cmax + 5FU + Docetaxel
FBR1Y240065,RXA,control
FBR2A240067,RXA,control
FBR2A240067,RXC,Paclitaxel + Carboplatin
FBR2A240067,RXK,Lipodox
FBR2B240068,RXA,control
FBR1W240075,RXA,control
FBR1W240075,RXC,Paclitaxel + Carboplatin
FBR1W240075,RXD,Paclitaxel + Carboplatin + Pembrolizumab_Cmax
FBR1Y240077,RXA,control
FBR1Y240077,RXAE,control
FBR1Y240077,RXAI,control
FBR1Y240077,RXAK,control
FBR1Y240077,RXJ,Paclitaxel + Carboplatin
FBR1Y240077,RXF,Cisplatin_Cmax
FBR2C240079,RXA,control
FBR2C240079,RXM,control
FBR2C240079,RXB,Nivolumab_Cmax
FBR2C240079,RXC,Nivolumab_Cmax + Sunitinib
FBR2C240079,RXD,Sunitinib
FBR1Y240082,RXA,control
FBR1Y240082,RXF,Cisplatin_Cmax
FBR1Y240083,RXA,control
FBR1Y240083,RXF,Cisplatin_Cmax
FBR1Q240088,RXA,control
FBR1Q240088,RXAZ,Nivolumab_Cmax
FBR1Q240088,RXAV,
FBR1Q240088,RXBA,Nivolumab_Cmax
FBR1Y240091,RXA,control
FBR1Y240091,RXAE,control
FBR1Y240091,RXAJ,control
FBR1Y240091,RXAK,control
FBR1Y240091,RXAI,control
FBR1Y240093,RXA,control
FBR1Y240093,RXAE,control
FBR1Y240093,RXAJ,control
FBR1Y240093,RXAK,control
FBR1W240095,RXA,control
FBR1W240095,RXAQ,Paclitaxel + Carboplatin
FBR1W240095,RXBD,control
FBR2M240096,RXA,control
FBR2M240096,RXB,Methotrexate + Erlotinib + Celecoxib + Nivolumab_Low dose
FBR2M240096,RXC,Nivolumab_Cmax
FBR2M240096,RXD,Methotrexate + Erlotinib + Celecoxib
FBR2M240096,RXE,Nivolumab_Low dose
FBR2M240096,RXF,Cisplatin_Cmax
FBR2M240096,RXG,Cisplatin_Cmax + 5FU + Docetaxel
FBR2M240096,RXH,Cisplatin_Cmax + 5FU
FBR2C240100,RXA,control
FBR2C240100,RXD,Sunitinib
FBR2C240100,RXG,Pazopanib
FBR1Y240102,RXA,control
FBR1Y240102,RXAI,control
FBR1Y240102,RXAE,control
FBR1Y240102,RXC,Nivolumab_Cmax
FBR1Y240102,RXAJ,control
FBR2F240102,RXA,control
FBR2F240102,RXC,Nivolumab_Cmax
FBR2F240102,RXAJ,control
FBR1W240104,RXA,control
FBR1W240104,RXAQ,Paclitaxel + Carboplatin
FBR1W240104,RXBD,control
FBR1Y240105,RXA,control
FBR1Y240105,RXJ,Paclitaxel + Carboplatin
FBR1Y240105,RXC,Nivolumab_Cmax
FBR1W240106,RXA,control
FBR1W240106,RXF,Adriamycin / Doxorubicin + Cyclophosphamide + Paclitaxel
FBR1W240106,RXC,Paclitaxel + Carboplatin
FBR1Y240108,RXA,control
FBR1Y240108,RXAE,control
FBR1Y240108,RXAI,control
FBR1Y240108,RXAK,control
FBR1Y240108,RXF,Cisplatin_Cmax
FBR1Y240110,RXA,control
FBR1Y240110,RXF,Cisplatin_Cmax
FBR1Y240110,RXG,Cisplatin_Cmax + 5FU + Docetaxel
FBR1Y240110,RXW,Cisplatin_Cmax + Nivolumab_Low dose
FBR1Y240113,RXA,control
FBR1Y240113,RXF,Cisplatin_Cmax
FBR2C240114,RXA,control
FBR2C240114,RXM,control
FBR1Y240118,RXA,control
FBR1Y240118,RXF,Cisplatin_Cmax
FBR1Y240118,RXAI,control
FBR1Y240119,RXAI,control
FBR1Y240119,RXAL,Nivolumab_Cmax
FBR1Y240119,RXAJ,control
FBR1Y240119,RXAD,Anti-CD3 + IL2
FBR1Y240119,RXAQ,
FBR1Y240122,RXA,control
FBR1Y240122,RXAJ,control
FBR1Y240122,RXF,Cisplatin_Cmax
FBR1Y240122,RXG,Cisplatin_Cmax + 5FU + Docetaxel
FBR1W240124,RXAH,Nivolumab_Low dose
FBR1W240124,RXBD,control
FBR1W240124,RXAQ,Paclitaxel + Carboplatin
FBR1W240124,RXBE,Paclitaxel + Carboplatin + Pembrolizumab_Cmax
FBR1Y240131,RXAI,control
FBR1Y240131,RXAJ,control
FBR1Y240131,RXAN,Cisplatin_Cmax
FBR1Y240131,RXAT,Cisplatin_Cmax + 5FU + Docetaxel
FBR1Q240132,RXA,control
FBR1Q240132,RXAZ,Nivolumab_Cmax
