Sample_ID,In_06Aug2026_Combined_Histo_Cohort,In_22Jul2026_Batch1_Cohort,In_05Aug2026_Batch2_Cohort,In_1Series_Cleaned_30March
FBR1A210009,False,False,False,True
FBR1A210010,False,False,False,True
FBR1A210011,False,True,False,False
FBR1A210080,False,True,False,False
FBR1A210094,False,True,False,False
FBR1A210175,False,True,False,False
FBR1A210176,False,True,False,False
FBR1A210182,False,True,False,False
FBR1A210230,False,True,False,False
FBR1A220109,False,True,False,False
FBR1A220125,False,True,False,False
FBR1A220164,False,True,False,False
FBR1A220184,False,True,False,False
FBR1A220214,False,True,False,False
FBR1A220226,False,True,False,False
FBR1A220249,False,True,False,False
FBR1A220270,False,True,False,False
FBR1A230031,False,True,False,False
FBR1A230122,False,True,False,False
FBR1A230124,False,True,False,False
FBR1A230149,False,True,False,False
FBR1B210017,False,True,False,False
FBR1B210019,False,True,False,False
FBR1B210021,False,True,False,False
FBR1B210024,False,True,False,False
FBR1B210026,False,True,False,False
FBR1B210027,False,True,False,False
FBR1B210030,False,True,False,False
FBR1B210035,False,True,False,False
FBR1B210036,False,True,False,False
FBR1B210041,False,True,False,True
FBR1C210051,False,True,False,False
FBR1C210052,False,True,False,False
FBR1C240214,False,False,False,True
FBR1H210058,False,True,False,True
FBR1H210064,False,True,False,True
FBR1H210067,False,True,False,True
FBR1H210073,False,True,False,True
FBR1H210074,False,True,False,True
FBR1H210114,False,True,False,True
FBR1H210116,False,True,False,True
FBR1H210117,False,True,False,True
FBR1H210118,False,True,False,True
FBR1H210121,False,False,False,True
FBR1H210123,False,False,False,True
FBR1H210127,False,True,False,True
FBR1H210131,False,True,False,True
FBR1H210133,False,True,False,True
FBR1J210077,False,True,False,True
FBR1J210105,False,True,False,True
FBR1J210107,False,True,False,True
FBR1J210229,False,True,False,True
FBR1J220002,False,True,False,True
FBR1J220018,False,True,False,True
FBR1J220030,False,True,False,True
FBR1J220031,False,True,False,True
FBR1J220037,False,True,False,True
FBR1J220050,False,True,False,True
FBR1J220053,False,True,False,True
FBR1J220055,False,True,False,True
FBR1J220056,False,True,False,True
FBR1J230194,False,True,False,False
FBR1J240233,False,True,False,False
FBR1J240244,False,True,False,False
FBR1J250007,False,True,False,False
FBR1J250009,False,True,False,False
FBR1J250019,False,True,False,False
FBR1J250039,False,True,False,False
FBR1J250064,False,True,False,False
FBR1J250070,False,True,False,False
FBR1J250149,False,True,False,False
FBR1J250191,False,True,False,False
FBR1J250212,False,True,False,False
FBR1K210078,False,True,False,True
FBR1K210079,False,True,False,False
FBR1K210083,False,True,False,False
FBR1K210089,False,True,False,False
FBR1K210091,False,True,False,True
FBR1K210093,False,True,False,True
FBR1K210100,False,True,False,True
FBR1K210102,False,True,False,True
FBR1K210108,False,True,False,True
FBR1K210109,False,True,False,True
FBR1K210111,False,True,False,True
FBR1K220008,False,False,False,True
FBR1K220012,False,True,False,False
FBR1K220013,False,True,False,False
FBR1K220016,False,False,False,True
FBR1K220024,False,True,False,True
FBR1K220025,False,True,False,True
FBR1K220026,False,True,False,True
FBR1K220033,False,True,False,True
FBR1K220042,False,True,False,False
FBR1K220043,False,False,False,True
FBR1K220047,False,False,False,True
FBR1K220049,False,False,False,True
FBR1K220057,False,False,False,True
FBR1K220068,False,True,False,False
FBR1K220073,False,True,False,False
FBR1K220074,False,False,False,True
FBR1K220084,False,True,False,False
FBR1K220085,False,False,False,True
FBR1K220086,False,True,False,False
FBR1K220100,False,False,False,True
FBR1K220102,False,False,False,True
FBR1K220103,False,True,False,False
FBR1K220104,False,True,False,False
FBR1K220113,False,True,False,False
FBR1K220114,False,True,False,False
FBR1K220115,False,True,False,False
FBR1K220118,False,False,False,True
FBR1K220121,False,True,False,False
FBR1K220122,False,True,False,False
FBR1K220194,False,False,False,True
FBR1K250093,False,False,True,False
FBR1K250106,False,False,True,False
FBR1K250107,False,False,True,False
FBR1K250111,False,False,True,False
FBR1K250119,False,False,True,False
FBR1K250130,False,False,True,False
FBR1K250133,False,False,True,False
FBR1K250137,False,False,True,False
FBR1K250142,False,False,True,False
FBR1K250189,False,False,True,False
FBR1K250202,False,False,True,False
FBR1K250266,False,False,True,False
FBR1K250272,False,False,True,False
FBR1K250280,False,False,True,False
FBR1L210119,False,False,True,False
FBR1L210135,False,False,True,False
FBR1L210136,False,False,True,False
FBR1L210137,False,False,True,False
FBR1L210138,False,False,True,False
FBR1L210145,False,False,True,False
FBR1L210147,False,False,True,False
FBR1L210148,False,False,True,False
FBR1L210150,False,False,True,False
FBR1L210151,False,False,True,False
FBR1L210154,False,False,True,False
FBR1L210162,False,False,True,False
FBR1L210178,False,False,True,False
FBR1L210180,False,False,True,False
FBR1L210188,False,False,True,False
FBR1L210194,False,False,True,False
FBR1L210195,False,False,True,False
FBR1L210197,False,False,True,False
FBR1L210201,False,False,True,False
FBR1M210155,False,False,True,False
FBR1M210196,False,True,False,False
FBR1M210202,False,True,False,False
FBR1M210205,False,True,False,False
FBR1M220011,False,True,False,True
FBR1M220045,False,True,False,False
FBR1M220080,False,False,True,False
FBR1M220099,False,False,True,False
FBR1M220101,False,False,True,False
FBR1M220130,False,True,False,False
FBR1M220136,False,False,True,False
FBR1M220142,False,False,True,False
FBR1M220216,False,False,True,False
FBR1M220217,False,False,True,False
FBR1M220223,False,True,False,False
FBR1M220224,False,False,True,False
FBR1M220233,False,True,False,False
FBR1M220244,False,False,True,False
FBR1M220261,False,True,False,False
FBR1M230013,False,True,False,False
FBR1M230023,False,False,True,False
FBR1M230041,False,True,False,False
FBR1M230076,False,True,False,True
FBR1M230092,False,True,False,False
FBR1M230093,False,True,False,False
FBR1M230103,False,True,False,False
FBR1M230163,False,True,False,False
FBR1M230171,False,True,False,False
FBR1M230175,False,True,False,False
FBR1M230184,False,True,False,False
FBR1M230288,False,False,True,False
FBR1N210210,False,False,True,False
FBR1N210217,False,False,True,False
FBR1N220119,False,False,True,False
FBR1Q220065,False,True,False,True
FBR1Q220110,False,False,True,False
FBR1Q220111,False,True,False,True
FBR1Q220146,False,False,True,False
FBR1Q220157,False,True,False,True
FBR1Q220159,False,False,True,False
FBR1Q220168,False,False,True,True
FBR1Q220178,False,False,True,False
FBR1Q230034,False,True,False,False
FBR1Q230042,False,True,False,False
FBR1Q230059,False,True,False,False
FBR1Q230081,False,True,False,False
FBR1Q230091,False,False,True,False
FBR1Q230095,False,True,False,False
FBR1Q230101,False,True,False,False
FBR1Q230107,False,False,True,False
FBR1Q230109,False,True,False,False
FBR1Q230114,False,True,False,False
FBR1Q230135,False,False,True,False
FBR1Q230173,False,False,True,False
FBR1Q230185,False,True,False,False
FBR1Q230190,False,False,True,False
FBR1Q230204,False,True,False,False
FBR1Q230205,False,True,False,False
FBR1Q230214,False,True,False,False
FBR1Q230219,False,True,False,False
FBR1Q230222,False,True,False,False
FBR1Q230235,False,True,False,False
FBR1Q230237,False,True,False,False
FBR1Q230238,False,True,False,False
FBR1Q230246,False,True,False,False
FBR1Q230257,False,True,False,False
FBR1Q230263,False,True,False,False
FBR1Q230275,False,True,False,False
FBR1Q230276,False,True,False,False
FBR1Q230367,False,True,False,False
FBR1Q230369,False,True,False,False
FBR1Q230376,False,True,False,False
FBR1Q240022,False,False,True,False
FBR1Q240042,False,False,True,False
FBR1Q240088,False,False,True,False
FBR1Q240132,False,False,True,False
FBR1Q240139,False,False,True,False
FBR1Q240225,False,False,True,False
FBR1Q240251,False,False,True,False
FBR1Q240272,False,False,True,False
FBR1Q240292,False,False,True,False
FBR1Q240308,False,False,True,False
FBR1Q240327,False,False,True,False
FBR1Q240329,False,False,True,False
FBR1Q240338,False,False,True,True
FBR1Q250104,False,False,True,False
FBR1Q250105,False,False,True,False
FBR1Q250108,False,False,True,False
FBR1Q250173,False,True,False,False
FBR1Q250174,False,True,False,False
FBR1Q250179,False,True,False,False
FBR1Q250180,False,True,False,False
FBR1Q250181,False,True,False,False
FBR1Q250188,False,True,False,False
FBR1Q250190,False,True,False,False
FBR1Q250220,False,True,False,False
FBR1Q250249,False,True,False,False
FBR1Q250252,False,False,False,True
FBR1Q250258,False,True,False,False
FBR1Q250274,False,True,False,True
FBR1Q250278,False,True,False,True
FBR1Q250283,False,True,False,False
FBR1Q250293,False,True,False,True
FBR1Q250299,False,True,False,True
FBR1Q250302,False,True,False,True
FBR1Q250316,False,False,False,True
FBR1Q250332,False,False,False,True
FBR1Q250335,False,False,False,True
FBR1R220052,False,True,False,False
FBR1R220057,False,True,False,False
FBR1R220062,False,True,False,False
FBR1R220069,False,True,False,False
FBR1R220112,False,True,False,False
FBR1R220119,False,True,False,False
FBR1R220121,False,True,False,False
FBR1R220129,False,True,False,False
FBR1R220165,False,True,False,False
FBR1R220167,False,True,False,False
FBR1R220176,False,True,False,False
FBR1R220203,False,True,False,False
FBR1R220206,False,True,False,False
FBR1R220207,False,True,False,False
FBR1R220209,False,True,False,True
FBR1R220215,False,True,False,True
FBR1R220225,False,True,False,False
FBR1R220236,False,True,False,True
FBR1R220238,False,True,False,True
FBR1R220254,False,True,False,False
FBR1R220268,False,True,False,False
FBR1R220269,False,True,False,False
FBR1R230002,False,True,False,False
FBR1R230003,False,True,False,False
FBR1R230011,False,True,False,True
FBR1R230016,False,True,False,False
FBR1R230017,False,True,False,False
FBR1R230018,False,True,False,False
FBR1R230028,False,True,False,True
FBR1R230030,False,True,False,False
FBR1R230035,False,True,False,True
FBR1R230037,False,True,False,True
FBR1R230045,False,True,False,True
FBR1R230047,False,True,False,True
FBR1R230048,False,True,False,False
FBR1R230057,False,True,False,False
FBR1R230061,False,True,False,False
FBR1R230089,False,True,False,False
FBR1R230110,False,True,False,False
FBR1R230159,False,True,False,False
FBR1S220126,False,False,True,False
FBR1S220127,False,True,False,False
FBR1S220128,False,True,False,False
FBR1S220129,False,True,False,False
FBR1S220131,False,True,False,False
FBR1S220132,False,False,True,False
FBR1S220137,False,True,False,False
FBR1S220138,False,True,False,False
FBR1S220139,False,False,True,False
FBR1S220140,False,True,False,False
FBR1S220141,False,False,True,False
FBR1S220144,False,True,False,False
FBR1S220147,False,True,False,False
FBR1S220148,False,True,False,False
FBR1S220149,False,False,True,False
FBR1S220150,False,False,True,False
FBR1S220151,False,False,True,False
FBR1S220154,False,False,True,False
FBR1S220155,False,False,True,False
FBR1S220167,False,False,True,False
FBR1S220215,False,True,False,False
FBR1S220218,False,True,True,False
FBR1S220220,False,True,False,False
FBR1S220221,False,True,False,False
FBR1S220225,False,True,False,False
FBR1T210137,False,True,False,True
FBR1T210138,False,True,False,True
FBR1T210140,False,False,False,True
FBR1T210141,False,True,False,False
FBR1T210144,False,True,False,True
FBR1T210147,False,True,False,True
FBR1T210148,False,True,False,False
FBR1T210149,False,True,False,True
FBR1T210150,False,True,False,False
FBR1T210154,False,True,False,True
FBR1T210155,False,True,False,True
FBR1T210171,False,True,False,False
FBR1T220137,False,True,False,True
FBR1T220138,False,True,False,True
FBR1T220140,False,True,False,True
FBR1T220144,False,True,False,True
FBR1T220147,False,True,False,True
FBR1T220149,False,True,False,True
FBR1T220154,False,True,False,True
FBR1T220155,False,True,False,True
FBR1T220169,False,True,False,True
FBR1T220173,False,True,False,True
FBR1T220175,False,True,False,True
FBR1T220177,False,True,False,True
FBR1T220179,False,True,False,True
FBR1T220180,False,True,False,True
FBR1T220181,False,True,False,True
FBR1T220185,False,False,False,True
FBR1T220250,False,False,True,False
FBR1T220251,False,False,True,False
FBR1T220253,False,False,True,False
FBR1T220254,False,False,True,False
FBR1T220255,False,True,False,False
FBR1T220256,False,False,True,False
FBR1T220257,False,False,True,False
FBR1T220258,False,True,False,True
FBR1T220259,False,True,False,True
FBR1T220262,False,False,True,False
FBR1T220263,False,True,False,False
FBR1T220268,False,True,False,False
FBR1T230002,False,True,False,True
FBR1T230003,False,True,False,True
FBR1T230004,False,True,False,True
FBR1T230006,False,True,False,False
FBR1T230009,False,True,False,True
FBR1T230010,False,True,False,True
FBR1T230011,False,True,False,False
FBR1T230014,False,True,False,True
FBR1T230016,False,True,False,True
FBR1T230017,False,True,False,True
FBR1T230018,False,True,False,True
FBR1T230019,False,True,False,False
FBR1T230024,False,False,True,False
FBR1T230025,False,True,False,False
FBR1T230028,False,True,False,True
FBR1T230030,False,True,False,True
FBR1T230032,False,True,False,True
FBR1T230033,False,True,False,True
FBR1T230035,False,True,False,True
FBR1T230036,False,True,False,True
FBR1T230037,False,True,False,False
FBR1T230039,False,False,True,False
FBR1T230040,False,True,False,False
FBR1T230044,False,False,True,False
FBR1T230045,False,False,True,True
FBR1T230047,False,True,False,True
FBR1T230048,False,True,False,False
FBR1T230050,False,True,False,True
FBR1T230052,False,True,False,True
FBR1T230054,False,True,False,True
FBR1T230056,False,True,False,True
FBR1T230060,False,True,False,True
FBR1T230061,False,False,True,False
FBR1T230062,False,True,False,False
FBR1T230063,False,True,False,False
FBR1T230065,False,True,False,True
FBR1T230069,False,True,False,False
FBR1T230070,False,True,False,False
FBR1T230071,False,True,False,True
FBR1T230074,False,True,False,True
FBR1T230075,False,True,False,False
FBR1T230077,False,True,False,True
FBR1T230079,False,True,False,True
FBR1U220237,False,True,False,True
FBR1U220263,False,False,True,False
FBR1U230004,False,True,False,True
FBR1V220245,False,False,True,False
FBR1V220247,False,False,True,False
FBR1V220264,False,False,True,False
FBR1V230014,False,False,True,False
FBR1W230012,False,True,False,True
FBR1W230015,False,True,False,False
FBR1W230020,False,False,True,False
FBR1W230022,False,True,False,False
FBR1W230066,False,False,True,False
FBR1W230067,False,False,True,False
FBR1W230072,False,True,False,False
FBR1W230080,False,True,False,False
FBR1W230085,False,True,False,False
FBR1W230086,False,True,False,False
FBR1W230097,False,False,True,False
FBR1W230099,False,True,False,False
FBR1W230120,False,True,False,False
FBR1W230133,False,False,True,False
FBR1W230155,False,True,False,False
FBR1W230158,False,True,False,False
